,text,label
648,Czy ktoś pomyślał że jeżeli testy na sars2 są gówno warte co z resztą było wiadomo od początku to jak mogli stworzyć szczepionkę. Na co ta szczepionka?będą szczepić zdrowych ludzi przecież testy dały fałszywe wyniki ?wiec na co? Okradli nas przy parapandemi teraz na szczepionkach,Medyczne
649,"Od lat trwa spór, ilu tak naprawdę jest lekarzy w Polsce. Pojawiają się głosy, że dane, które sami raportujemy do Estatu czy OECD są niedoszacowane. Gdy już będzie szczepionka na COVID-19, poprośmy lekarzy o zgłaszanie się do szczepienia jako pierwszych. Wtedy poznamy ich liczbę.",Niemedyczny
650,"Pan @jacekleski za pisanie prawdy o Bogatinie, czy ""Osoczu"" oraz przede wszystkim ""Wakacje z agentem"" ma u mnie duży kredyt zaufania, mimo późniejszych kilku wpadek w PR(R.Kasparow). Zacząłem studia w WSB-NLU w NS jak pan skończył uczyć. Dużo dobrego słyszałem o pańskim wykładach",Niemedyczny
651,"Dziś Ogólnopolski Dzień Seniora. Święto 9 milionów. W pandemii bezbronni. Samotni. Pozostawieni sami sobie. Bez dostępu do leczenia. Bez testów w ZOL-ach i DPS-ach. Bez szczepionek na grypę. Bez remdesiviru i osocza, które mogłyby ratować ich życie. Główne ofiary zaniedbań rządu.",Niemedyczny
652,"Sytuacja znajomej która starała się skontaktować z przychodnią też dała mi do myślenia. Odmówiono jej udzielenia pomocy przy zwyczajnym przeziębieniu z obawy na strach? W takim razie, ja się pytam za co odpowiedzialni są ci ludzie, którzy czuli się powołani do wykonywania zawodu.",Niemedyczny
653,"uciekał od prawdy, wręcz przeciwnie. Krocząc do przodu i korzystając z życia był najwspanialszym przykładem tego, jak można przeżyć ostatnie chwile życia. Na świecie jest wiele osób, które, po usłyszeniu od lekarzy ""wyroku"", poddają się nie dając sobie szansy na chwile szczęścia.",Niemedyczny
654,Nie znoszę chamstwa. Sklep. Starsza Pani uderza mnie koszykiem i mówi spier ... jest senioralna. Mówię proszę Pani jest 12:33 i po godzinie seniora. Poszła. Zero przepraszam. Wyszedłem. Po takich akcjach zawsze mam wyrzuty. Czy na chamstwo lekarstwem nie jest chamstwo. Co z nami?,Niemedyczny
655,"Szczepionka na covid będzie biletem do piekła w jedną stronę.  Szczepienia pod przymusem są nielegalne. Nie dajcie się zastraszyć - ich mieczem jest strach. Nasze tarcze obronne to: śmiech, humor, wiara, nadzieja, miłość, różaniec. Zwyciężymy, bo naszym Tatą jest Bóg Wszechmogący",Niemedyczny
656,"Przyszedł ""Pan"" doktor (dlaczego każda kurwa w PL ma tytuł Pan), przepisał kroplówki, kt. sami sobie przepisaliśmy kilka dni temu...  P. dr z Miedziowego C. Zdrowia nie widzi potrzeby badania Covid przed szpitalem; niech zbadają w szpitalu. Bada się między oddziałami. W ""czyścu"".",Medyczne
657,"Dr Artur #Zaczyński, dyr. Szpitala Tymczasowego na Stadionie Narodowym w #SygnałyDnia @RadiowaJedynka:  jestem rozżalony, media starają się kształtować politykę zdrowotną, podają nieprawdę. Jeżeli chodzi o działalność szpitala - każdy rozruch jest trudny, to nowe miejsce i ludzie",Niemedyczny
658,"Szczepionki przeciwko wirusom są bezużyteczne i nieskuteczne–wirusy–jako formy białka,są całkowicie i stale zmienne.Nie reagują na żadne zastrzyki przeciwne ich istnieniu.Nie ma czego zabijać. Aby tak naprawdę„zabić”wirusa,trzeba zniszczyć jego gospodarza  https://t.co/QmSa8vqsRm",Medyczne
659,"DZIEŃ  DOBRY  POLSKO  I  PRAWDZIWI  POLACY  Marek  Gajowniczek  Cześć porzuconym  Znikną korzyści z nowym otwarciem, z marokańskimi imigrantami. Madryt w gorączce.Walczy zażarcie. Strefa skażona.Trumny z ciałami.  Zniszczyła godność nieznana siła. Wirus bezbronną zabrał starzyznę",Niemedyczny
661,"Wirus od dawna obecny, słabiej zaraźliwy od wirusów grypy, co najwyżej tak śmiertelny jak średnia dla wszystkich gryp i paragryp a przy tym DIAGNOZOWANY TAK ŻE JAKIEŚ 70-90% jest falsepositive a połowa zakażonych wychodzi przy testach ujemnie. Dane oficjalne to artefakt badawczy.",Medyczne-diagnoza
662,"ale to alurat zabawne co roku w okresie pazdziernik/listopad w szkolach bywa tak, ze nie ma polowy uczniow i to jest normalne i kurwa sezon gryp bedzie tak czy siak. a to ze kluby moga byc pootwierane, sa wydarzenia w plenerze na 500osob, plaze sa pelne ludzi, ale szkoly zamknac?",Medyczne
663,"Awantura z Chazanem nie była o dopuszczalność tej aborcji z prawnego punktu widzenia.  Nie chodziło też o to czy dr Chazan miał prawo odmówić zabiegu, bo TAK, MIAŁ.  Cała draka była o próbę narzucenia lekarzowi obowiązku doinformowania pacjentki, który tak naprawdę należy do NFZ.",Medyczne
664,"Polskie prawo niezmiennie każe lekarzowi chronić życie i zdrowie matki w ciąży, nawet kosztem uchylenia ochrony dziecka.  Jeżeli potrzebna są teraz zmiany prawne, to gwarantujące minimalny standard świadczeń przysługujących matce i dziecku w przypadku ciąż trudnych.  @AndrzejDuda",Medyczne
667,"Co piszą w Holandii o szczepionce? Holandii przysługuje ponad 11 mln szt. z tzw pakietu europejskiego. Jest wiele niewiadomych, np jak dlugo szczepionka chroni przed wirusem i czy szczepienia trzeba będzie powtarzać. Problemy logistyczne związane z ...(1)  https://t.co/wL1y77RbAb",Medyczne
668,"Przyszedł sms z końcem kwarantanny:) Był 1 domownik z + pcr (izolowany, zero duszności,trochę kaszlu, brak węchu, 1dzień temp.) ,ja ""-"" ale rozwalone zatoki (3 tydzień, nigdy tak nie było, maski??), nastolatki 1 dzień temperatury 37-37,5, babcia 75 lat(bez testu)nie zaraziła się.",Medyczne-diagnoza
669,".@MKierwinski w int. części #GośćRadiaZET o @SzpitalNarodowy:Nie ma umowy między KPRM a spółką, żeby ten szpital funkcjonował. Model znany z wyborów Sasina – premier poleca coś spółce, nie daje pieniędzy, spółka wykonuje za własne a potem okazuje się, że nie ma na to żadnych dok.",Niemedyczny
673,"No tak właściwie, to tego nie wiemy. Badania nie udowodniły skuteczności osocza, ale mając mały arsenał broni przeciw COVID19 (O2, Heparyny drobnocząsteczkowe, sterydy) próbujemy tych niepotwierdzonych (remdesivir, tocylizumab, osocze). Niektóre już obalono (arechin, azytromicin)",Medyczne-diagnoza
674,"66% Czechów nie chce się zaszczepić przeciwko covid_19, 16% uzależnia np. pochodzenia szczepionki, a niecała 1/5 jest zdecydowana się zaszczepić. Wzrósł odsetek niechętnych szczepionce w stosunku do z września, kiedy 58% deklarowało, że się nie zaszczepi.  https://t.co/ZNGXaQWuLW",Medyczne-diagnoza
675,"W polskich mediach w kontekście #G20 dużo mówi się o D.Trumpie i o tym, że pojechał grać w golfa.  Tu bardziej globalne spojrzenie z perspektywy #Niemcy  Dużo o programie Covax i szczepionce #Covid_19, która ma być rozdystrubowana na świecie do końca 2021  https://t.co/u2mRFBaROw",Niemedyczny
676,"I to jedno ma być powodem dla przekreślenia PiS-u w całości, i dać dojść do władzy prawdziwej Mafii, tak?! Co zapomnieliśmy już jak rządziła PO i rozkradała kraj. Już o tym zapomniałeś? Jesteś farmaceutą i lekarzem, żeby wypowiadać się na temat szczegółów dotyczących szczepionek?",Niemedyczny
677,czułam jednak ze zaraz eksploduje z emocji które miałam. jungkook miał rację. do cholery ona go wrabia - zapłaciłam lekarzowi żeby sfałszował wynik testu na ojcostwo i on jest pewny że naprawdę jest ojcem. będzie blisko mnie bo ten jego jimin czy jak on ma już z nim zerwał chyba.,Niemedyczny
678,czy wy tez macie tak ze myślicie sobie ze moglibyście iść i robić coś innego w życiu i mean te studia są fajne ale wsm to taka matematyka tez i może większa radość bym miała albo chemia albo taka dietetyka jakby czemu tak krótko się żyje chce być matematykiem chemikiem i lekarzem,Niemedyczny
679,"W sumie teraz pora, aby producenci szczepionek na COVID19 zaczęli wytykać błędy innym projektom i chwalili własne. Przynajmniej recenzenci będą odważniejsi w recen. Mam nadzieję, że nikt nie zapomni o chińskiej i rosyjskiej szczepionce. Tort jest duży, ale apetyt duuuużo większy.",Niemedyczny
680,"Czy można będzie lekarzowi/pielęgniarce dać „w łapę”, żeby nas nie zaszczepiła,w przypadku, gdy szczepienia będą obowiązkowe? Jak to wyglada z pkt. prawnego, gdy się na to nie zgodzą i zgłoszą np. na policję? Nie chce się szczepić bo boje się o zdrowie - to chyba zgodne z prawem?",Niemedyczny
681,"Kręciłam klopsiki na obiad i jednym uchem słuchałam, co wydalał z siebie #Zaczyński na temat #NarodowyLazaret. Aktualnie przebywa tam (sic!) 27 chorych na 500 łóżek ""w gotowości"",a tak w ogóle, to o co ten krzyk, że tylko JEDNEMU lekarzowi nie podoba się propagandowe cacko   #PiS",Niemedyczny
682,"chlopak sie zle czuje i wrocil z pracy szybciej, mial wizyte przez telefon z lekarzem i dostal skierowanie na test na koronawirusa a jego ojciec przezywa i go wyzywa a sam to gowno kurwa przyniosl XD i drze pysk na caly dom, ze wszyscy beda znowu musieli byc na kwarantannieXDDDDD",Medyczne-diagnoza
683,"hantawirusowych, infekcyjnych zapaleń wątroby, zatruć jadem kiełbasianym, gorączek krwotocznych i dużo częstsze występowanie enterokrwotocznego szczepu Escherichia coli oraz bakterii Haemophilus influenzae. Nastąpił również nieoczekiwan wzrost zachorowań na giardiozę HIV/AIDS 2/3",Medyczne-diagnoza
684,"Tak naprawdę teraz co chwile się choruje, bo jest jesień. Nie można iść z katarem i kaszlem do szkoły. Gdyby były zdalne lekcje to będąc chorym można przynajmniej być na lekcji, a tak to półtora tygodnia w domu. Potem pare dni chodzenia do szkoły i znowu chora   #zamknijcieszkoly",Medyczne-diagnoza
685,"podejscie mojej szkoly do obostrzen to zart niesmieszny jakby i get it nie popadajmy w panike ale fakt ze ani razu nie mierzyli tej temperatury, polowa osob nie nosi maseczek tam gdzie trzeba i kazdy ma w dupie jak ktos doslownie dusi sie kaszlem a zgloszenia uczniow ze nie czuja",Medyczne
686,"I sekretarz Partii powiedział do opozycji,ze maja:krew na rękach. To prawda.Wszystkie hieny C19  maja krew na rękach.A to znaczy,ze cały rząd jest czerwony od krwi zmarłych  z powodu #histerii wirusowej.Przychodnie zamknęli.Starsi czekają w domu z chorymi płucami aż jest za późno",Niemedyczny
687,"Ponad 250 tys. zł kosztuje w Polsce terapia siatkówczaka, nowotworu złośliwego oka u dzieci. W USA: 1,5 mln zł. I choć w naszym kraju dostępne są te same metody leczenia, a osiągane wyniki są porównywalne, to sporo pacjentów organizuje publiczne zbiórki i szuka pomocy za oceanem.",Niemedyczny
688,"https://t.co/veQ2qNenL9 Pandemia ma siostrę bliźniaczkę. Nazywa się światowa recesja. Ta szybko nadchodzi, choć jej rozmiary czy głębokość zależą od czasu trwania tej pierwszej, w tym - skuteczności ewentualnej szczepionki, o której coraz głośniej - recenzuje prof. @b_goralczyk.",Niemedyczny
689,"#Rosja Minister zdrowia #MikhailMurashko powiedział, że jego kraj ma nadzieję rozpocząć dostawy #szczepionka na #koronawirus #SputnikV na #Węgry już w XII. Rosja zaprosiła węgierskich naukowców do obserwowania przeprowadzanych testów szczepionki i jej produkcji w zakładach. /PAP/",Niemedyczny
690,"Stoję dzisiaj do zabiegu, chcę coś zapytać doktora, mówię ""Doktorze, mam pytanie"", a ten odwraca się, pyta zdziwiony, czy ja do niego mówię, na odpowiedź, że tak, stwierdził że przesadziłam XD Spytałam jak mam się do niego zwracać, a on że dzisiaj to jak chcę, no uwielbiam go XDD",Niemedyczny
691,I wykąpały wszystkie ukrywające się niecnie wirusy zarówno przynależącej do formacji COVID jak i te maskujące się w internecie 🤦🏼‍♀️🤦🏼‍♀️🤦🏼‍♀️ pajace generały wygrywają zawsze przeszłe wojny - zamiast tego mogli by pomagać w szpitalach ale lepiej sobie pobiegać i poudawać wojenkę,Niemedyczny
692,"Niebywałe jest zacofanie polski w kontekście walki z pandemią COVID-19.  W dniu, kiedy Premier Morawiecki ogłasza ""nagrodę"" pod postacią 2 wolnych dni dla ozdrowieńców oddających osoczę, prestiżowy periodyk naukowy przedstawia badanie, w którym ukazuje brak skuteczności tego leku",Niemedyczny
693,"Panie Doktorze #Zaczyński, nie wie Pan,dlaczego jest tak mało testów? To ja Panu powiem: -test zleca lekarz POZ, ale umówienie telewizyty graniczy z cudem -w kolejce do testu czeka się kilka godzin, co z gorączką jest b. trudne, bez samochodu-niemożliwe  -z wynikiem zostajesz sam",Medyczne
694,"#szczeranoc trochę nawiązując (Ale tak niezbyt), nie wierzę nigdy osobom które (przykładowo) mówią, że pobieranie krwi nie boli, może mieli kiedyś pobieraną, ale każdy ma inną odporność na ból. Więc niech nie mówią  że to nie boli, bo to że ich nie boli nie oznacza że innych też.",Medyczne
695,"Koronowirus to nie kara boża, ani zemsta szatana, a to konsumpcjonizm bytu w nadmiernym korzystaniem z życia według ciała bez równowagi z duchem i bilansem przetwarzania oraz wchłanianiem gazowych przemian przez przyrodę. Ulegamy pokusie reklam, podróżujemy i przywieźliśmy wirusy",Niemedyczny
696,"Redachtor Piasecki to większy miszcz od samego suskiego Kurski brać w ciemno,podzieli włos nawet na sześcioro i zrobi ich analizę zarówno podłużną jak i poprzeczną Niemal cała Polska wie i pokazuje machloje i nieprawidłlowości przy wyborach ale Piasecki jak Reksio z kością jedzie",Niemedyczny
697,"Tylko, że to nie jest skutek koronawirusa w sumie.  SORy tak już po prostu wyglądają. Nigdy w życiu nie idzie się na SOR,chyba że nie masz absolutnie żadnego innego wyjścia.  Kiedyś ze złamaną kością oczodołu przesiedziałem na SORze w stolicy 16 godzin. I nie dostałem zwolnienia.",Medyczne
700,"Mogę powiedzieć o amfetaminie - 65% badanych pilotów stosowało ten narkotyk podczas Operacji Pustynna Burza.  Dodajmy, że Coca-Cola to było połączenie kokainy (coke) z kofeiną (kola nut) i na początku była sprzedawana jako lekarstwo na ból głowy, problemy żołądkowe i przemęczenie",Medyczne-diagnoza
701,"Doskonale wiedzieli nad jakim wirusem pracują w laboratorium broni biologicznej ""łuskowce "" od lat i pewnie na skróty zrobili lekarstwo.Gdyby to ogłosili to z technologii i metody produkcji wyszło by że to jednak wyrafinowa- ny wirus celowo stworzony przez biologów ChRL i pod sąd",Medyczne
702,"Klarenbach nadal promuje w#MINĘŁA8przedstawicieli postkomuny,targowicy i innych zdrajców Polski.Zaprasza jakiegoś tam zamroczonego swoimi obłąkańczymi ideami Mroczka,który blady jak ściana bo krew mu spłynęła w dole partię ciała,bredzi jak w gorączce.Należy go wysłać na testy IQ!",Niemedyczny
703,"było wówczas 15 tys punktów lekarzowi przyjmujacemu TYLKO we WTORKI i CZWARTKI od 9-ej do 12 POBIERAJĄCEMU pieniądze za 18 tys PUNKTÓW tj.1,2 etatu  https://t.co/eD57NgfKXAócz byłej prez.Centrali NFZ p.Agnieszki Pachciarz WSZYSCY AKCEPTOWALI ZŁODZIEJSTWO.Ją jednak usuneli-SZKODA-",Niemedyczny
704,"Kolejny #FF (i według mojego psychiatry ""must have"") to @MemeUser86. Jeśli twój lekarz bywa bardziej pijany od ciebie to z pewnością na recepcie (tej z niebieskim paskiem) małym druczkiem, sympatycznym atramentem zalecił obserwowanie Lucka. Jeśli masz choćby mentalne jaja - warto",Niemedyczny
705,"Centra krwiodawstwa nie mają jak informować ozdrowieńców o nowych, obiecanych przez premiera bonusach za oddanie osocza. Powód? ""Brak nawet projektu odpowiedniego rozporządzenia"". Na razie bonusy są tylko slajdem w prezentacji, a dawcy mogą liczyć np. na czekoladę. @RadioZET_NEWS",Medyczne
706,"Październik to miesiąc walki z rakiem piersi, dlatego PPIS w Brodnicy chce zwrócić uwagę na konieczność wykonywania regularnych badań profilaktycznych i rolę zdrowego stylu życia w zapobieganiu nowotworom👇  https://t.co/bZNSlpuLVL #rakpiersi #profilaktyka  https://t.co/JIFB7kWmds",Medyczne
708,"I w takim okresie pozamykano przychodnie, które były pełne chorych na grypę i choroby grypopodobne. Co roku na grypę choruje ponad 4,5 mln osób - gdzie oni są.Dziennie 20 tys. ludzi choruje na grypę- gdzie oni są ?Czekają w domu ..a jak następuje pogorszenie,to już jest za późno.",Medyczne
709,"Ja pierdole :)))))) zapomnialam że mamy dzisiaj jeszcze kolejne zajęcia i to super długie a mam gorączkę, źle się czuje i myslalam, że po pierwszych zajęciach się położę i odpocznę a potem ewentualnie jak się lepiej poczuje to napisze troche pracy, a tu gówno, zajebiście ja jebie",Medyczne-diagnoza
710,"Chorzy bezobjawowo nikogo nie zarażają tym wirusikiem z dupy chińskiego nietoperza. U nas w Polsce przed przybyciem niby tego z Chin, to mieliśmy dużo mocniejszych wirusów i stąd co roku przychodnie były pełne ludzi - chorych OBJAWOWO, A nasi lekarze byli super odpornymi ludźmi !",Medyczne
711,"Co do zasady w środowisku lekarskim w Polsce jest podobnie jak w sędziowskim tj kryją siebie nawzajem i trudno jest udowodnić lekarzowi błąd lub niedbalstwo bo biegli, jego koledzy niechętnie obciążają ich swymi zeznaniami wiedząc że kryjąc ich być może na przyszłość kryją siebie",Niemedyczny
713,"Problemy związane z nowotworami nie wiążą się jedynie z samą chorobą, ale także z paraliżującym lękiem przed śmiercią, depresją i brakiem nadziei. Skuteczną formą walki z nimi mogą być psychodeliki.  https://t.co/yzP3QP3cQM Niestety badania z udziałem tych substancji są zakazane.",Medyczne
714,"Panie Semka!(nie piszę Panie ""PS""Czy nie potrafi Pan uszanować działaczy  Prawa i Sprawiedliwości wypowiadając w programie #Salon Dziennikarski pełną nazwę partii a nie piiis (nie piskać)skoro nie mówi Pan ""kao""tylko pełną nazwę tego tworu(czy nowotworu).Rozumiem inicjały oskarżo",Niemedyczny
715,Panuje teraz jakaś grypa oprócz koronawirusa? bo złe się czuje i bolą mnie mięśnie (mam tak przy gorączce) ale gorączki nie mam XD i się zastanawiam czy to np jelitówka bo brzuch mnie tez boli i byłam w toalecie czy kurwa korona bo chodzę do pracy gdzie dziennie widuje 400+ ludzi,Medyczne-diagnoza
716,"NIE GARB SIĘ. ZJEDZ DO KOŃCA. PIJ SZPIK. BĄDŹ GRZECZNA. WŁÓŻ SUKIENKĘ. BĄDŹ CICHO GDY ZAPADA ZMROK. PRZEBIERZ SIĘ, MASZ WSZYSTKO WE FLAKACH. UWAŻAJ CO ROBISZ. ODPOWIADAJ NA DZIEŃ DOBRY, ONI NIE MOGĄ SIĘ ZORIENTOWAĆ. BĄDŹ MIŁA. ZACZNIJ OSZCZĘDZAĆ MIĘSO. ZAMYKAJ PIWNICĘ. BĄDŹ SOBĄ.",Niemedyczny
718,"J.Kasprowicz 2 Dziś z resz­tą siły po­sze­dłem w bluź­nier­ce Ma dłoń słab­ną­ca dziś twój bał­wan kru­szy Krwa­wy Mo­lo­chu, coś po­żarł me ser­ce Jak wam­pir wy­ssał dro­gi szpik mej du­szy!  Kró­lu w łach­ma­nach, sie­dzą­cy na tro­nie Z któ­re­go zdar­to bi­sior i zło­ce­nia!",Niemedyczny
719,"Jak mamy tak grać to idźcie jutro do manu,niech ktoś na was kichnie,złapcie tego wirusa żebyśmy już w tym roku nic nie grali. Trzeba anulować bo przegramy. #GKŁŁKS Najgorszy mecz w tym sezonie.Mówiłem to 2 tygodnie temu mowiłem to po ostatnim meczu i mówię to dzisiaj.Martwi to...",Niemedyczny
720,"Pacjent z HIV i ostrą białaczką limfocytową. Bierzemy jego szpik i modyfikujemy za pomocą CRISPR kom. macierzyste hematopoetyczne, pozbawiając genu CCR5. HIV opanowany, białaczka w remisji. Proste :)  CRISPR-Edited Stem Cells in a Patient with HIV and ALL  https://t.co/EPX3ZU31tg",Medyczne-diagnoza
722,"Mam nadzieję, że po pandemii przyjmie się noszenie maseczek w przypadku JAKIEJKOLWIEK choroby czy przeziębienia, jak w krajach azjatyckich. Nikt nie chce zakażać Covidem, ale też nikt nie chce rozkładać się do zwykłej grypy na antybiotykach. Bądźmy zdrowsi i bardziej produktywni.",Medyczne
723,"Skoro upadają świetne restauracje, które są sprzedawane z wyposażeniem za 20% wartości, a chętnych nie brakuje, to ciekaw jestem ilu z tych chętnych to ludzie PIS. Bo to mega okazje, jak gorączka złota. Może Morawiecki? Szumowski? Sasin? Może to zorganizowana celowo akcja krachu?",Niemedyczny
724,"Bandytyzm Bezobjawowy, zdrowy człowiek ważniejszy niż dziecko chore na raka?! Mnóstwo chorych przez zamknięcie medycyny rodzinnej, stomatologii, ginekologii, psychiatrii, nie mogło dostać pomocy medycznej lub choćby lekarstw, które biorą przewlekle. Część z tych osób albo doznała",Niemedyczny
726,"Kopili licencję od brytyjskiegoGogglebox i""zyebali"" wszytko. To kolejny dowód, że telewizja TVPiS i już nic gorszego widza spotkać nie może. Nie dziwię się,że naród nie chce płacić abonamentu,gdyż nie za już tam nic godnego uwagi. Za te 2mld zł ile można byłoby kupić szczepionek?",Niemedyczny
727,"Będę najszczęśliwszy, jeśli w szpitalach tymczasowych nie będzie żadnego pacjenta - powiedział dziś premier @MorawieckiM, odnosząc się do obecnej sytuacji w @SzpitalNarodowy   Więcej:  https://t.co/Rn35AUVF1F  #KoronawirusWPolsce #COVID19 #SzpitalNarodowy  https://t.co/9KLi3aiVj8",Niemedyczny
728,"Kilka slow o wirusach, jezykiem uproszczonym,  zeby uporzadkowac wiedze 1. Wirusy wytwarzane sa przez wszystkie organizmy zywe, w celu adaptacji organizmu do nowych wyzwan (detoksykacja, zagniezdzenie jaja w macicy) 2.wirusy obce gatunkowo tzw odzwierzece,  sa niegrozne dla ludzi",Medyczne-diagnoza
729,"szukalam zdj jedzenia ze szpitali do filmu na tiktoka i znalazlam filmiki gdy nagrywalam siebie nie wiedzac o tym nawet bo bylam nacpana i..boze one sa straszne, teraz jak na to patrze to to co przeszlam udowadnia jak silna baba jestem i co ja sie jakims kolejnym fiutem przejmuje",Medyczne-diagnoza
730,"Jak zaczną ludzie chorować po tych szczepionkach (patrz Szwecja z 2009r. do dziś/odszkodowania za szczepionkę na tzw. ""świńską grypę"")-do sądu należy pozywać: Morawiecki, Niedzielski, Simon oraz RMF FM! A tu ""obiektywny"" wywiad z córą Big Pharmy-""Każda pliszka swój ogonek chwali""",Medyczne
731,"Dziś PiS pozbawił większość medyków dodatków za walkę z COVID ❌ Odebrali pielęgniarkom, lekarzom, diagnostom i ratownikom. Twierdzą, że budżet nie wytrzyma wypłat. Równocześnie przekazują TVP kolejne 2 MILIARDY złotych. Wstyd. PiS odebrał godność medykom❗  https://t.co/C7IPpYaySf",Niemedyczny
732,Nie chce mi się już dziur kopać pod i krytykować polski rząd. Co miałem do napisania to napisałem głosowałem w końcu na nich. W samorządowych podzieliłem swoje głosy na PiS i Konfederację. Ale warunek jeden - niech nie pierdolą już o jakiś nowatorskich szczepionkach dla Polaków..,Niemedyczny
733,"Panie ministrze @a_niedzielski czemu ma służyć usługa e-wizyty, skoro nic z niej nie wynika? Postanowiłem skorzystać, ponieważ nie sposób się dodzwonić do mojego lekarza POZ, a przychodnia jest zamknięta. Niestety nie można liczyć na skierowanie, ani na RTG płuc, ani na test a-g.",Medyczne
735,"Bzdura. Wszyscy wiedzą jak rozwija się epidemia, bo rozwija się zawsze tak samo. Najpierw szybko rośnie, a potem zaczyna opadać. I na tym epidemia się kończy. W przypadku wirusów respiratorowych wszystko zamyka się w 6-8 tygodniach. To wszystko. To nie jest kurwa fizyka kwantowa.",Medyczne
736,"Czy w sytuacji, gdy BRAKUJE TLENU w szpitalach i karetkach rządzący też powiedzą, że wynika to z braku zaangażowania medyków w walce z pandemią? Jesteśmy lekarzami - nie grabarzami! Pozwólcie nam leczyć pacjentów!  #PolskaToChoryKraj #LeczymyMimoWszystko   https://t.co/JHKN7Ilyj4",Medyczne
737,"Kołtuneria, zabobon, ciemnogród, leśne duszki, przesądy, nieuctwo, bezdenna głupota, dyskretny urok znachorów - ileż to się człowiek może dowiedzieć o intelektualnym poziomie władzy i jej pomagierów, słuchając debaty o projekcie proepidemików. Głupota iskrzy, triumfuje, przeraża.",Niemedyczny
738,"#koronawirus  ,,Za hospitalizację pacjenta z COVID-19 NFZ płaci szpitalom 330-630zł na dobę.Gdy pacjent trafia pod respirator,stawka rośnie do ponad 1,1tys.zł.Ale za pacjentów,którzy trafią do szpitali tymczasowych,Fundusz zapłaci od nieco ponad tysiąca do ponad 4,3 tys. za dobę.",Niemedyczny
739,"3/3 medycznego w całym kraju, aby móc zaopatrywać ludność. Niedobór zasobów medycznych"", o którym informowano na świecie, nie był obecnie zgłaszany ani oczekiwany w najbliższej przyszłości.” DEDYKUJĘ umierającym w szpitalach bez dostaw #Remdesiwir, respiratorów, tlenu. Tak kłamie",Niemedyczny
740,"Czyt.:""podniose podatki, obdarze Planned Parenthood dotacjami i wroce do transgenderowych lazienek z czasow Obamy. Otworze szeroko granice dla nielegalnych imigrantow i rozbroje Was. A wszystko z Waszych pieniedzy, frajerzy. Ide na masaz, bo w kosciach mnie lamie. Wasz Prezydent""",Niemedyczny
741,"Część szczepionek na Covid-19 i temaperatury w jakich powinny być trzymane przed podaniem. Na końcówkę listopada 2020 w fazie testów jest około 200 różnych szczepionek na koronawirus, a 11 jest w fazie trzeciej. Pierwszy wcale nie musi oznacza, że będzie możliwy do zrealizowania.",Medyczne
742,"Z cyklu:świat według zwolenników Konfederacji-  Kapitalizm-system w którym każdemu wolno zarabiać, czerpać z własnej pracy zyski, a ""chcącemu nie dzieje się krzywda"" *  * nie dot. firm farmaceutycznych w zakresie produkcji szczepionek. Zarabianie na szczepieniach jest podejrzane!",Niemedyczny
743,"""Wolne media"" (TVN) na pierwszej linii frontu walki kobiet z pandemią. Manifestacje doprowadzą do tego, że ten cholerny wirus przestraszy się i ucieknie. Taka taktyka. Jutro TVN będzie relacjonował strajki leworęcznych, wegan, hodowców wszy w dredach, nosicielek stringów i innych",Niemedyczny
745,"jakaś czwórka I bym leciał jak jaskółka Jak pszczółka maja Do ucha śpiewałaby mi Kayah To są jaja, no nie wierzę Wygięty leżę jak zdechłe zwierze Gorączka w kurwę się nasila Poharatany jak dupa fakira Jak zdzira wymiętolony Leżę kurwa rozpalony Hej, Johnny, chciałbym posypać I na",Niemedyczny
746,"Za dostępność jednego łóżka NFZ płaci Narodowemu 822 zł na dobę, za dostępność stanowiska wentylacji mechanicznej 3,7 tys zł. Dużo więcej niż normalnym szpitalom.  Do czego służy rządowi, bo przecież nie chorym, Narodowy? Do propagandy rządowej?  Do wyprowadzania pieniędzy z NFZ?",Niemedyczny
747,"Po śmierci księdza z powodu COVID-19, gmina Tuchów na FB napisała: „Nie każdy wierzy w zagrożenie koronawirusem, ale każdy z nas wierzy w Pana Boga”. Gmina Tuchów to strefa wolna od LGBT. Jak się okazuje, również wolna od ateistów. I od wiedzy o wirusach.  https://t.co/Y15jGj29J5",Niemedyczny
749,"Wpis, pełen empatii, wzajemnego poszanowania, zrozumienia, wzbudzający sympatię i jednoczący narody. Jestem Polakiem i dziękuję Wam Żydzi za te słowa w dniu Narodowego Święta Niepodległości Polski. Niepodległości, okupionej krwią walczących o nią Polaków, a także Żydów - Polaków.",Niemedyczny
750,"Francja - pierwsza córa KK ma bogate tradycje w zaprowadzaniu praworządności i poszanowaniu praw człowieka i obywatela - oczywiście a'rebours: Wyrżnęli Katarów, Templariuszy, Hugenotów, mieszkańców Wandei. Teraz Macronowi przeszkadzają Polacy, ale połamie sobie zęby - Pierrocik..",Niemedyczny
753,"@JKlimasara Ahh, znowu te pół-prawdy.  Nikt nie jest przeciwko szczepionkom, bo nie działają czy są ""złe"".  Ludzie są przeciwko &gt;przymusowi&lt; szczepienia, ponieważ szczepionki - zupełnie tak samo jak leki (które nie są przymusowe) - mogą przynieść niepożądane skutki uboczne.",Medyczne
